Query,i,BHE/SQL,BHE2/SQL
31,5,0.221458618389063,0.097862294413002
32,5,0.281523865525313,0.138737957525327
33,2561,0.114270125405674,0.049364166208328
34,1,0.114270125405674,0.049364166208328
35,1,0.114270125405674,0.049364166208328
36,14,1.28340381984101,0.616705551514291
37,2,0.140301131930388,0.066314559196636
38,4,0.342112107471193,0.157350566861239
39,9,0.328647111372451,0.146360422617675
40,72,0.864589576289394,0.388851063641041
41,7,0.684981850666606,0.330034774586165
42,47,1.15762780862348,0.622815499529833
43,513,0.114270125405674,0.049364166208328
44,9,0.357748238779641,0.18784486276458
45,14,1.05136657130257,0.509738214786296
46,66,1.92157339454728,1.03142797579973
47,24,0.309070143498468,0.154611624647375
48,67,0.335728743794737,0.148798857406455
49,8,0.778360453676795,0.392347373276795
50,4098,0.344789275496704,0.129556402249703
51,386,0.747458527925096,0.379403376328442
52,1161,1.2400857146088,1.02690594893813
53,1029,0.700338109076928,0.364660770363536
54,197,0.764482715728292,0.342791370225148
55,5,0.543024097339228,0.243356679027021
56,24,0.783432089830719,0.357303328424676
57,322,0.451977768480092,0.178054530454376
58,12,0.73674137482614,0.484449017972784
59,421,5.0229354426515,2.49705924099143
60,265,0.425895875973901,0.228720525876905
