Zeitpunkt,EntriesSum,Gesamt1,Gesamt2,Gesamt3
1,25816,51002,328048,76188
2,57767,86741,361120,91159
3,92723,121824,385169,99112
4,129583,157096,400917,103596
5,169146,195919,435534,111803
6,210417,234289,444813,114595
7,251763,246884,459198,116758
8,286447,237483,347001,88414
9,313311,224195,342876,80084
10,353732,242300,453981,116253


