Query,i,BHE/SQL
61,11,0.729671050399738
62,28,1.10469507989099
63,273,0.114270125405674
64,8222,7.5792944941368
65,29,2.1346414799905
66,4,0.221458618389063
67,15,1.02488889894044
68,8199,0.736297535987697
69,5,0.281523865525313
70,8,0.813389797926114
71,137,3.83097655852453
72,14,1.1259739011455
73,185,1.26692241584024
74,69640,0.992061786889509
75,4131,0.720440898759513
76,260,1.87023226623546
77,644,0.717851367702102
78,3,0.166332138455102
79,23,2.0989675799758
80,425,14.8272392658849
81,1284,1.37303664921466
82,78,0.608859249375233
83,303,8.92083837481483
84,67684,20.0611536417401
85,196612,91.344271934685
86,528386,0.328647111372451
87,210,0.8505648343944
88,3340,34.7152561826467
89,81,1.36749573123155
90,8,0.7084826931123

