Query,i,BHE/SQL
1,3,0.241032336265442
2,3,0.233096952155468
3,3,0.235294617419329
4,6,0.233048807426749
5,2,0.114558965964509
6,2,0.115926842668691
7,7,0.114663751550543
8,7,0.114558965964509
9,2,0.114558965964509
10,3,0.11463259907902
11,3,0.142494236792768
12,2,0.131718313688396
13,7,0.137303102219755
14,2,0.126014579356673
15,3,0.221457255977026


