Query,i,BHE/SQL,BHE2/SQL
1,7,0.757401083306006,0.340352935436368
2,1,0.114270125405674,0.049364166208328
3,1,0.114270125405674,0.049364166208328
4,1,0.114270125405674,0.049364166208328
5,2,0.221458618389063,0.097862294413002
6,10,1.07896656225617,0.485847320050388
7,1,0.114270125405674,0.049364166208328
8,1,0.114270125405674,0.049364166208328
9,1,0.114270125405674,0.049364166208328
10,8,0.779313152330013,0.375451315579369
11,1,0.114270125405674,0.049364166208328
12,1,0.114270125405674,0.049364166208328
13,1,0.114270125405674,0.049364166208328
14,7,0.684981850666606,0.330034774586165
15,2,0.221458618389063,0.097862294413002
16,2,0.221458618389063,0.097862294413002
17,1,0.114270125405674,0.049364166208328
18,2,0.221458618389063,0.097862294413002
19,2,0.221458618389063,0.097862294413002
20,2,0.221458618389063,0.097862294413002
21,3,0.289603428584352,0.143926423362844
22,5,0.221458618389063,0.097862294413002
23,7,0.684981850666606,0.330034774586165
24,2050,1.05138636029536,0.659578313787414
25,57,0.425895875973901,0.228720525876905
26,7,0.296685061006638,0.146364858151624
27,2,0.221458618389063,0.097862294413002
28,3,0.221458618389063,0.097862294413002
29,20,1.02488889894044,0.845616805351028
30,5,0.398663394886524,0.210965083476749
